blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
184,BISHAN ST 13,12,BH,88,0,0,44,44,0,0,0,0,0,0,0,0,88,0,255.2,64,1.35006712276964,103.85253500527,570184,BISHAN
184,BT BATOK WEST AVE 8,4,BB,32,0,0,24,8,0,0,0,0,0,0,0,0,32,0,86.4,62,1.34623774673934,103.743824246873,650184,BUKIT BATOK
184,EDGEFIELD PLAINS,14,PG,74,0,0,0,0,28,46,0,0,0,0,0,0,74,0,272.79999999999995,80,1.39851583178002,103.910140642146,820184,PUNGGOL
184,JELEBU RD,30,BP,171,0,0,0,29,85,57,0,0,0,0,0,0,171,0,609.8,78,1.37971095812868,103.762440084954,670184,BUKIT PANJANG
184,PASIR RIS ST 11,12,PRC,55,0,0,0,11,44,0,0,0,0,0,0,0,55,0,190.3,71,1.36523251393642,103.960283310204,510184,PASIR RIS
184,STIRLING RD,25,QT,122,0,0,0,26,96,0,0,0,0,0,0,0,122,0,421.8,77,1.29560954714992,103.804472923985,140184,QUEENSTOWN
184,TOA PAYOH CTRL,4,TP,27,0,0,21,6,0,0,0,0,0,0,0,0,27,0,72.3,49,1.33259000918315,103.849677717253,310184,TOA PAYOH
184,YUNG SHENG RD,18,JW,119,0,0,0,68,51,0,0,0,0,0,0,0,119,0,402.9,77,1.33332140109047,103.722288614113,610184,JURONG WEST
184A,RIVERVALE CRES,17,SK,112,0,0,0,48,64,0,0,0,0,0,0,0,112,0,382.4,79,1.3921257522424,103.907508047408,541184,SENGKANG
184A,WOODLANDS ST 13,28,WL,156,0,0,0,54,102,0,0,0,0,0,0,0,156,0,535.2,96,1.43611569878667,103.777087417647,731184,WOODLANDS
184B,RIVERVALE CRES,17,SK,112,0,0,0,48,64,0,0,0,0,0,0,0,112,0,382.4,79,1.39248357533523,103.907225369474,542184,SENGKANG
184C,RIVERVALE CRES,17,SK,151,0,0,0,151,0,0,0,0,0,0,0,0,151,0,498.29999999999995,79,1.39266579969396,103.907716745628,543184,SENGKANG
185,BEDOK NTH RD,20,BD,144,0,0,0,144,0,0,0,0,0,0,0,0,144,0,475.2,81,1.32623725322603,103.940827550178,460185,BEDOK
185,BISHAN ST 13,12,BH,88,0,0,44,44,0,0,0,0,0,0,0,0,88,0,255.2,64,1.34976201896994,103.852472713646,570185,BISHAN
185,BOON LAY AVE,22,JW,436,0,0,432,0,4,0,0,0,0,0,0,0,436,0,1094.0,53,1.34640538174578,103.71077711286,640185,JURONG WEST
185,BT BATOK WEST AVE 6,11,BB,90,0,0,0,70,20,0,0,0,0,0,0,0,90,0,301.0,66,1.34708158497581,103.744923972487,650185,BUKIT BATOK
185,EDGEFIELD PLAINS,17,PG,96,0,0,0,0,34,62,0,0,0,0,0,0,96,0,354.6,80,1.39806814684992,103.910166919016,820185,PUNGGOL
185,JELEBU RD,30,BP,173,0,0,0,88,85,0,0,0,0,0,0,0,173,0,587.9,79,1.37935525582195,103.762296482155,670185,BUKIT PANJANG
185,PASIR RIS ST 11,12,PRC,77,0,0,0,11,66,0,0,0,0,0,0,0,77,0,267.3,71,1.36573012825405,103.959903670796,510185,PASIR RIS
185,TOA PAYOH CTRL,4,TP,23,0,0,22,0,1,0,0,0,0,0,0,0,23,0,58.5,49,1.33272795858038,103.849994231509,310185,TOA PAYOH
185A,RIVERVALE CRES,17,SK,70,0,0,0,27,43,0,0,0,0,0,0,0,70,0,239.6,77,1.3933223716906,103.907116237157,541185,SENGKANG
185B,RIVERVALE CRES,17,SK,133,0,0,0,133,0,0,0,0,0,0,0,0,133,0,438.9,77,1.39288807322396,103.906920778538,542185,SENGKANG
185B,WOODLANDS ST 13,29,WL,215,0,108,54,53,0,0,0,0,0,0,0,0,215,0,579.9,96,1.43585650383199,103.776294109996,732185,WOODLANDS
185C,RIVERVALE CRES,17,SK,127,0,0,0,127,0,0,0,0,0,0,0,0,127,0,419.09999999999997,77,1.39317369502634,103.906494405169,543185,SENGKANG
185C,WOODLANDS ST 13,22,WL,120,0,0,80,40,0,0,0,0,0,0,0,0,120,0,332.0,96,1.43588503875867,103.776598268666,733185,WOODLANDS
185D,RIVERVALE CRES,17,SK,109,0,0,0,109,0,0,0,0,0,0,0,0,109,0,359.7,77,1.39386699836591,103.906351242369,544185,SENGKANG
