blk_no,street,Postcode,n_supmkt_400,dist_supmkt,n_food_400,n_mrt_400m,dist_mrt,dist_cbd,n_presch_400,n_sch_2km,prank_2km,grnarea_400
312A,CLEMENTI AVE 4,121312,0,468.778421743649,92,0,466.94653581914554,9826.59135931507,6,11,5.0,1.780867158514275
312A,SUMANG LINK,821312,1,0.000697154080435,32,0,718.7983645768506,12295.375092691904,6,15,47.0,7.744827171030777
312B,ANCHORVALE LANE,542312,0,626.1020193060457,16,0,1111.1858708101363,9846.4237765872,3,21,31.0,1.228897340771628
312B,CLEMENTI AVE 4,122312,0,503.79582342790417,31,0,530.0314007178912,9853.27960134122,7,10,5.0,3.072030922608176
312B,SUMANG LINK,822312,1,64.91392186617202,21,0,769.7389783491434,12359.682730132245,3,13,47.0,7.799246791144936
312C,CLEMENTI AVE 4,123312,0,516.8349030303262,23,0,524.5535735778471,9889.112952031908,7,10,5.0,2.439105693235431
312C,SUMANG LINK,823312,1,91.13399123202706,20,0,710.0512493114727,12331.10635323558,3,16,47.0,8.588168576789938
313,ANG MO KIO AVE 3,560313,3,344.90015737836626,194,2,299.06016416756125,7043.5864865010935,6,19,2.0,2.022650743220855
313,BT BATOK ST 32,650313,3,292.672221595638,55,0,486.0788069609744,13417.791731717087,6,13,40.0,0.0
313,HOUGANG AVE 5,530313,2,117.28428861380998,38,0,722.3489859419896,7338.717343822563,2,17,23.0,0.547451991570175
313,JURONG EAST ST 32,600313,1,298.53571219283276,39,0,537.4234759301526,14250.80657001606,3,15,7.0,1.383892128419939
313,SEMBAWANG DR,750313,0,430.86963161307807,21,0,538.8686977072252,16046.948010760427,3,12,41.0,0.544976642570337
313,SERANGOON AVE 2,550313,0,614.6522090396987,26,1,217.41015759075324,5404.221886876487,3,18,22.0,1.289135246036019
313,SHUNFU RD,570313,1,132.2536259308253,62,1,394.8268014846643,5679.3015571227525,2,17,4.0,0.692229963677269
313,TAMPINES ST 33,520313,1,358.6743584222377,48,0,501.567340349521,11153.450133162898,5,17,16.0,0.810399086541485
313,UBI AVE 1,400313,1,236.82163112527192,42,0,526.4487021341216,4794.407898831543,5,7,45.0,0.491015054477832
313,WOODLANDS ST 31,730313,2,305.6046864121745,80,1,300.67908036601483,16579.660318122078,10,13,63.0,0.72998145344835
313A,ANCHORVALE RD,541313,0,612.8691557968319,19,0,886.2676392906062,9876.029755565907,6,26,31.0,1.146421641026407
313A,SUMANG LINK,821313,1,209.93111173780133,103,0,586.5494457963919,12246.75430917413,3,17,47.0,10.964510271832761
313B,ANCHORVALE RD,542313,0,559.1710107235609,18,0,832.2686485150174,9862.350797543335,6,27,31.0,1.146421641026407
313B,SUMANG LINK,822313,1,207.30161365459537,11,0,629.3971588902422,12292.604339391135,2,17,47.0,10.827334857992568
313C,ANCHORVALE RD,543313,0,571.16426122138,19,0,833.3832520438849,9914.854236116911,6,26,31.0,1.146421641026407
313C,SUMANG LINK,823313,1,132.98512218433558,11,0,674.8777724783412,12313.787512043944,3,16,47.0,10.125598448531596
313D,ANCHORVALE RD,544313,0,552.2423753972201,19,0,882.816597863594,9938.086221247786,6,25,31.0,1.217174471010536
314,ANG MO KIO AVE 3,560314,3,321.2292655181694,185,1,345.3704055856635,6997.338885905592,6,19,2.0,1.128966125495862
314,BT BATOK ST 32,650314,1,365.1310102373715,33,0,574.4532949275215,13501.258540520099,4,13,40.0,0.0
314,HOUGANG AVE 5,530314,2,190.0764800840701,23,0,750.065373662801,7268.416695917482,3,17,23.0,0.105368856529238
314,JURONG EAST ST 32,600314,1,261.2716721593874,45,0,481.43027130643094,14233.59772388067,3,15,7.0,1.548081739104769
314,SEMBAWANG DR,750314,0,425.0323885749697,24,0,605.2831394799063,15976.753295345623,3,12,41.0,1.65892669532471
314,SERANGOON AVE 2,550314,0,588.711077830357,26,1,209.97093272946165,5368.683137623428,3,17,22.0,0.967523468261576
314,TAMPINES ST 33,520314,1,393.8530277541721,29,0,519.5191541212089,11184.28725702617,6,17,16.0,0.805487153654574
314,UBI AVE 1,400314,1,200.17105100047146,63,0,493.0602035095623,4785.150618223548,7,7,45.0,0.544489386500716
314,WOODLANDS ST 31,730314,2,275.39382582021744,81,1,266.5862402851217,16621.831129331953,10,13,63.0,0.730812628606943
314,YISHUN RING RD,760314,3,144.7721029260943,52,0,792.251171110785,14292.117314892079,4,18,29.0,1.603418966624869
314A,ANCHORVALE LINK,541314,0,425.98004972313856,18,0,709.7943355800224,9849.493679875806,7,27,31.0,1.146421641026407
314A,PUNGGOL WAY,821314,2,341.7661740678693,41,0,610.0894208030674,11950.34450219418,6,19,37.0,2.651333801576635
314B,ANCHORVALE LINK,542314,0,460.6850057493639,17,0,741.9952659692461,9851.057834660365,6,27,31.0,1.146421641026407
314B,PUNGGOL WAY,822314,1,281.2963975908461,32,0,641.0317225423454,11891.99989153141,7,17,37.0,2.888581440794211
314C,ANCHORVALE LINK,543314,0,464.898905129653,19,0,725.9173579840091,9899.009492253204,6,27,31.0,1.146421641026407
314D,ANCHORVALE LINK,544314,0,433.72928773714455,19,0,693.9505206962177,9902.045679685143,6,27,31.0,1.146421641026407
315,BT BATOK ST 32,650315,1,389.27806379799216,33,0,611.4226914827965,13529.837695742863,4,14,40.0,0.0
315,CLEMENTI AVE 4,120315,0,415.7033542817202,93,1,388.9340275140399,9698.875329420911,6,11,5.0,1.499493086444332
315,HOUGANG AVE 5,530315,2,149.0915460810283,38,0,766.4829650717071,7312.904022204243,2,16,23.0,0.431818015475276
315,JURONG EAST ST 32,600315,1,190.48600128821772,45,0,407.99809824550323,14246.01653577725,3,15,7.0,1.210433502820913
315,SERANGOON AVE 2,550315,0,538.711457883029,26,1,249.6522613499045,5369.622981162741,3,16,22.0,0.927079005920289
315,SEMBAWANG VISTA,750315,2,197.2165216106148,78,1,249.5088113414448,16332.469351228385,7,9,41.0,1.092022146219338
315,TAMPINES ST 33,520315,1,379.10562413451913,19,0,546.2837936427759,11211.765081708925,7,17,16.0,0.799991826188293
315,UBI AVE 1,400315,1,154.55463997797872,69,0,446.49432601787714,4751.576724124929,7,7,45.0,0.723712858755213
315,WOODLANDS ST 31,730315,2,236.7358940080383,65,1,228.39464627002286,16662.012142220578,9,13,63.0,0.73019769005933
315A,ANG MO KIO ST 31,562315,1,101.29223205536,63,0,662.0539706107259,6810.352526987915,7,20,2.0,15.892344745000946
315A,ANCHORVALE RD,541315,0,483.1793240718879,19,0,719.9702242917723,9951.42587172718,6,27,31.0,1.146421641026407
315A,PUNGGOL WAY,821315,1,321.9672932847454,32,0,696.8706226681554,11927.14100641583,5,17,37.0,2.705556993412483
315A,YISHUN AVE 9,761315,3,112.82529221060288,60,0,883.0485067639559,14357.257341768507,3,18,29.0,2.005843611494375
315B,ANCHORVALE RD,542315,0,526.5731577372981,19,0,798.6066349571241,9959.447551642912,7,25,31.0,1.146421641026407
315B,ANG MO KIO ST 31,563315,1,69.67806352608527,63,0,648.4195311587666,6781.432378208947,4,22,2.0,16.537450458592918
315B,PUNGGOL WAY,822315,1,284.991169869941,32,0,735.0503466956229,11869.523679537671,6,16,37.0,2.436596660704941
315B,YISHUN AVE 9,762315,3,162.26023027159127,60,0,884.9740003568616,14305.52168142131,5,18,29.0,1.955078281549197
315C,ANCHORVALE RD,543315,0,515.602950767491,19,0,830.3403488305679,9970.65785375178,7,25,31.0,1.146421641026407
315C,YISHUN AVE 9,763315,2,202.92235808762592,52,0,978.0009900533565,14346.251564369502,6,18,29.0,2.364661061762129
316,BT BATOK ST 32,650316,1,394.6602538722232,33,0,597.6557780670354,13527.918326061814,4,14,40.0,0.0
316,CLEMENTI AVE 4,120316,0,401.0621107207838,95,1,398.07114842039897,9788.633706129694,5,11,5.0,1.499493086444332
316,HOUGANG AVE 7,530316,1,230.03629058611492,32,0,854.6886278321792,7407.778053622045,2,14,23.0,0.530354567642668
316,JURONG EAST ST 32,600316,1,124.33579161362462,48,1,382.2286957145211,14289.782965065764,3,16,7.0,0.682280933097794
316,SEMBAWANG VISTA,750316,1,257.069646648774,78,1,311.41991576306737,16270.850988718823,5,10,41.0,0.805180662081807
316,SERANGOON AVE 2,550316,0,482.32656848442593,26,1,300.91822766092037,5378.200188024846,4,14,22.0,0.948581465098123
316,TAMPINES ST 33,520316,0,411.5666694784755,0,0,621.8089497981379,11201.77819920377,7,17,16.0,0.796711206871117
316,UBI AVE 1,400316,1,107.17677110858129,69,1,397.53483903325275,4717.161527757842,7,6,45.0,0.879307315718919
316,WOODLANDS ST 31,730316,2,285.21112565052016,81,1,278.0212513824493,16635.157182021187,9,13,63.0,0.777013687666822
316A,ANG MO KIO ST 31,562316,1,86.97963367699474,63,0,608.123495335675,6869.8415893100255,7,20,2.0,13.352095231482215
316A,ANCHORVALE LINK,541316,0,471.05545618945547,11,0,687.2928570336643,10030.287508347239,7,26,31.0,1.146421641026407
316A,PUNGGOL WAY,821316,1,304.4463337219953,32,0,630.9178010976493,12030.28880871913,6,18,47.0,2.954480912310533
316A,YISHUN AVE 9,761316,3,127.95748889586002,73,0,959.7169828604783,14460.91285028049,9,16,29.0,2.356815416156747
316B,ANCHORVALE LINK,542316,0,444.78498797231276,10,0,752.3599492789722,10044.130110131468,7,26,31.0,1.146421641026407
316B,PUNGGOL WAY,822316,1,341.94862351485824,32,0,670.451827583661,12020.348577437217,5,17,37.0,2.950027219493386
316B,YISHUN AVE 9,762316,3,123.34754225063563,66,0,935.9701434865725,14407.482400337274,6,17,29.0,2.259301210178283
316C,ANCHORVALE LINK,543316,0,419.21555785522463,12,0,807.9426081461809,10066.660419138156,7,26,31.0,1.15409594811062
316C,PUNGGOL WAY,823316,1,394.44415596481747,31,0,745.1012044460548,11996.549844645278,5,16,37.0,2.897675152759391
316C,YISHUN AVE 9,763316,2,208.619960773164,57,0,1017.6658431466489,14405.820960759756,6,16,29.0,2.559559667516693
316D,PUNGGOL WAY,824316,1,373.6191945667641,31,0,750.304207828541,11970.827833317508,5,16,37.0,2.766509705379987
317,ANG MO KIO ST 31,560317,1,133.00800856601165,63,0,524.4331137845558,6962.77251445759,8,19,2.0,8.654361922285656
317,BT BATOK ST 32,650317,3,335.57856737796766,55,0,516.9908461620944,13452.351407883318,6,12,40.0,0.0
317,CLEMENTI AVE 4,120317,1,353.3865329560479,78,1,351.7700930790205,9769.005817791061,5,11,5.0,1.499493086444332
317,HOUGANG AVE 7,530317,2,177.07967994230523,37,0,802.7443638288413,7423.558914061269,4,14,23.0,0.530354567642668
