blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
340,WOODLANDS AVE 1,730340,78,35,88,100,63,90,76,52,76,71
340A,SEMBAWANG CL,751340,78,28,67,75,11,91,72,65,59,58
340B,SEMBAWANG CL,752340,78,24,67,75,10,90,68,65,59,50
341,BT BATOK ST 34,650341,89,63,81,100,36,72,64,65,57,100
341,CHOA CHU KANG LOOP,680341,89,19,59,75,6,81,84,52,39,7
341,CLEMENTI AVE 5,120341,78,19,79,100,45,39,88,68,9,88
341,HOUGANG AVE 7,530341,100,92,86,100,53,31,72,46,34,50
341,JURONG EAST AVE 1,600341,100,79,94,100,60,78,92,55,12,88
341,SEMBAWANG CL,750341,78,19,71,75,9,90,72,65,59,49
341,TAMPINES ST 33,520341,89,73,91,100,72,56,88,52,26,76
341,UBI AVE 1,400341,89,68,84,100,25,14,80,84,65,77
341,WOODLANDS AVE 1,730341,78,46,88,100,62,90,80,52,76,59
341A,SEMBAWANG CL,751341,78,12,71,75,6,91,68,65,59,60
341B,SEMBAWANG CL,752341,78,10,71,75,5,91,68,68,59,59
342,BT BATOK ST 34,650342,89,77,83,100,39,72,64,65,57,100
342,CHOA CHU KANG LOOP,680342,89,32,58,75,10,81,80,52,39,8
342,CLEMENTI AVE 5,120342,89,10,89,100,46,38,88,62,9,70
342,TAMPINES ST 33,520342,100,78,100,100,76,56,92,55,26,76
342,UBI AVE 1,400342,89,75,83,100,25,14,80,84,65,80
342,WOODLANDS AVE 1,730342,78,38,88,100,62,90,84,52,76,46
342A,YISHUN RING RD,761342,89,40,96,100,80,76,72,46,41,42
342B,YISHUN RING RD,762342,89,49,96,100,83,76,76,46,41,50
342C,YISHUN RING RD,763342,89,36,96,100,80,76,72,46,41,50
343,ANG MO KIO AVE 3,560343,89,13,29,50,2,25,72,46,4,7
343,BT BATOK ST 34,650343,78,67,77,100,32,72,64,65,57,100
343,CHOA CHU KANG LOOP,680343,89,31,58,75,8,81,80,52,39,11
343,CLEMENTI AVE 5,120343,89,33,92,100,54,38,92,62,9,65
343,JURONG EAST ST 31,600343,89,2,86,100,23,78,92,52,12,99
343,TAMPINES ST 33,520343,89,57,89,100,69,56,76,55,26,76
343,UBI AVE 1,400343,100,78,83,100,21,13,92,84,65,72
343,WOODLANDS AVE 1,730343,78,36,88,100,57,90,84,52,76,60
343,YISHUN AVE 11,760343,89,29,96,100,77,75,72,46,41,23
344,ANG MO KIO AVE 3,560344,89,23,32,50,3,25,64,46,4,8
344,BT BATOK ST 34,650344,78,49,77,100,29,71,68,59,57,100
344,CHOA CHU KANG LOOP,680344,89,30,58,75,7,81,80,52,39,16
344,CLEMENTI AVE 5,120344,89,2,91,100,37,39,84,65,9,80
344,UBI AVE 1,400344,100,86,82,100,21,13,96,81,65,85
344,WOODLANDS ST 32,730344,78,25,88,100,55,91,84,52,76,55
344,YISHUN AVE 11,760344,89,41,96,100,79,75,68,46,41,29
345,ANG MO KIO AVE 3,560345,78,41,33,50,5,25,76,49,4,13
345,BT BATOK ST 34,650345,78,22,82,100,28,70,84,55,57,40
345,CHOA CHU KANG LOOP,680345,89,44,58,75,10,81,76,52,39,37
345,CLEMENTI AVE 5,120345,89,1,85,100,34,39,84,62,9,80
345,JURONG EAST ST 31,600345,89,1,86,75,19,77,92,52,12,100
345,KANG CHING RD,610345,100,96,97,100,27,82,80,59,12,8
345,TAMPINES ST 33,520345,89,71,88,100,76,57,76,59,26,87
345,UBI AVE 1,400345,100,94,86,100,26,13,92,71,65,99
345,WOODLANDS ST 32,730345,78,16,88,100,52,91,80,52,76,52
345,YISHUN AVE 11,760345,89,45,93,100,78,75,76,42,41,12
346,ANG MO KIO AVE 3,560346,78,50,29,50,7,24,76,42,4,22
346,BT BATOK ST 34,650346,67,36,78,100,25,70,80,52,57,57
346,CHOA CHU KANG LOOP,680346,89,21,58,75,5,81,80,52,39,17
346,CLEMENTI AVE 5,120346,67,14,86,100,40,38,88,62,9,77
346,JURONG EAST ST 31,600346,89,4,87,100,21,78,92,49,12,82
346,KANG CHING RD,610346,100,96,97,100,25,82,80,59,12,13
346,TAMPINES ST 33,520346,100,84,100,100,79,57,92,59,26,95
346,UBI AVE 1,400346,100,90,88,100,25,13,96,78,65,96
346,WOODLANDS ST 32,730346,78,29,88,100,59,91,84,49,76,41
346,YISHUN AVE 11,760346,89,36,99,100,75,75,76,42,41,9
347,ANG MO KIO AVE 3,560347,78,34,29,50,9,25,64,49,4,18
347,BT BATOK ST 34,650347,67,31,75,75,20,70,80,55,57,15
347,CLEMENTI AVE 5,120347,67,30,88,100,49,38,92,62,9,67
347,KANG CHING RD,610347,100,96,97,100,23,82,80,59,12,21
347,TAMPINES ST 33,520347,100,83,100,100,80,58,84,59,26,100
347,UBI AVE 1,400347,100,93,88,100,29,13,96,75,65,100
347,WOODLANDS AVE 3,730347,89,33,91,100,51,91,84,49,76,34
347A,YISHUN AVE 11,761347,89,40,93,100,69,74,84,42,41,5
347B,YISHUN AVE 11,762347,89,52,93,100,67,74,84,42,41,4
348,ANG MO KIO AVE 3,560348,78,24,36,100,22,24,68,42,4,13
348,BT BATOK ST 34,650348,67,42,75,75,20,70,80,55,57,46
348,CLEMENTI AVE 5,120348,67,37,89,100,49,37,92,62,9,69
348,JURONG EAST AVE 1,600348,89,9,86,75,11,77,92,52,12,89
348,KANG CHING RD,610348,100,97,97,100,23,82,84,59,12,27
348,TAMPINES ST 33,520348,100,81,100,100,80,59,84,59,26,100
348,UBI AVE 1,400348,100,83,90,100,25,13,92,84,65,82
348,WOODLANDS AVE 3,730348,89,42,86,100,50,91,84,49,76,44
348A,YISHUN AVE 11,761348,89,63,96,100,56,74,92,42,41,5
348B,YISHUN AVE 11,762348,89,59,91,100,64,74,92,42,41,4
