blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
187,BOON LAY AVE,640187,89,41,85,100,70,91,60,49,12,52
187,BT BATOK WEST AVE 6,650187,67,16,68,100,45,69,68,55,57,21
187,PASIR RIS ST 11,510187,100,87,100,100,82,61,84,46,26,71
187,PUNGGOL CTRL,820187,78,31,93,100,86,55,60,36,68,53
187A,BEDOK NTH ST 4,461187,67,54,74,100,63,34,76,49,10,81
187A,RIVERVALE DR,541187,89,39,88,100,86,49,57,20,52,76
187B,BEDOK NTH ST 4,462187,67,55,73,100,63,34,76,49,10,68
187B,RIVERVALE DR,542187,89,51,87,100,87,50,60,20,52,71
188,BISHAN ST 13,570188,67,33,55,75,13,17,76,33,13,55
188,BOON LAY DR,640188,89,62,87,100,63,90,92,49,12,52
188,BT BATOK WEST AVE 6,650188,78,52,69,100,36,67,84,55,57,22
188,PASIR RIS ST 12,510188,100,79,98,100,84,61,80,49,26,65
188,PUNGGOL CTRL,820188,78,24,93,100,84,55,60,36,68,52
188A,BEDOK NTH ST 4,461188,78,73,85,100,57,35,88,46,10,75
188A,RIVERVALE DR,541188,89,43,88,100,84,49,57,20,52,74
188B,BEDOK NTH ST 4,462188,78,74,85,100,59,35,92,46,10,79
188B,RIVERVALE DR,542188,89,51,87,100,85,50,57,20,52,63
188C,BEDOK NTH ST 4,463188,78,58,85,100,63,35,92,46,10,72
188C,RIVERVALE DR,543188,89,64,87,100,81,50,64,17,52,73
188D,BEDOK NTH ST 4,464188,78,51,84,100,65,34,92,46,10,79
188D,RIVERVALE DR,544188,89,58,85,100,78,49,60,13,52,84
189,BISHAN ST 13,570189,67,38,55,75,13,17,76,33,13,49
189,BT BATOK WEST AVE 6,650189,89,66,78,100,33,67,84,59,57,26
189,PASIR RIS ST 12,510189,89,73,94,100,85,61,76,49,26,63
189A,RIVERVALE DR,541189,89,73,87,100,78,50,68,13,52,87
189B,RIVERVALE DR,542189,100,79,87,100,76,50,64,13,52,87
189C,RIVERVALE DR,543189,89,72,86,100,76,50,60,13,52,87
19,BALAM RD,370019,78,47,80,100,26,11,84,71,60,84
19,BEDOK STH RD,460019,78,10,89,100,50,27,88,49,10,32
19,CANTONMENT CL,80019,100,91,85,100,48,1,88,84,25,100
19,CHAI CHEE RD,461019,67,70,91,100,73,22,84,65,31,90
19,DOVER CRES,130019,78,14,91,100,51,26,92,75,21,77
19,EUNOS CRES,400019,89,65,92,100,31,14,80,75,65,84
19,GHIM MOH RD,270019,89,18,91,100,34,24,88,75,21,29
19,HOUGANG AVE 3,530019,89,48,90,100,66,24,76,49,34,95
19,JLN TENTERAM,321019,78,4,94,100,73,7,84,52,20,94
19,JLN MEMBINA,163019,56,12,58,75,1,5,80,62,25,46
19,JOO SENG RD,360019,67,45,73,100,64,11,88,55,60,71
19,LIM LIAK ST,161019,78,73,73,100,46,2,80,68,25,100
19,MARSILING LANE,730019,100,100,92,100,82,98,92,65,83,42
19,MARINE TER,440019,89,13,93,100,99,16,84,68,15,6
19,QUEEN'S CL,140019,89,70,94,100,52,16,96,78,30,100
19,TECK WHYE LANE,680019,67,4,79,100,75,76,72,23,39,72
19,TOH YI DR,590019,67,9,68,75,8,43,76,91,5,100
190,BISHAN ST 13,570190,67,47,61,75,14,17,80,33,13,43
190,BT BATOK WEST AVE 6,650190,89,65,81,100,39,67,80,62,57,26
190,PASIR RIS ST 12,510190,89,74,94,100,84,61,72,49,26,71
190,PUNGGOL CTRL,820190,78,18,93,100,81,55,64,36,68,51
190A,RIVERVALE DR,541190,89,72,84,100,71,49,44,13,52,93
190B,RIVERVALE DR,542190,89,61,84,100,64,49,24,17,52,96
191,BISHAN ST 13,570191,67,29,54,50,8,17,76,36,13,52
191,BOON LAY DR,640191,89,53,90,100,70,89,84,49,12,52
191,BT BATOK WEST AVE 6,650191,78,50,77,100,44,68,84,59,57,23
191,LOR 4 TOA PAYOH,310191,78,4,42,100,20,8,88,36,20,23
191,PASIR RIS ST 12,510191,89,62,86,100,86,61,76,49,26,59
191,PUNGGOL CTRL,820191,78,16,89,100,78,55,60,36,68,44
191A,RIVERVALE DR,541191,89,31,85,100,72,49,24,17,52,96
191B,RIVERVALE DR,542191,89,50,85,100,77,49,44,13,52,88
192,BISHAN ST 13,570192,67,23,52,75,16,16,68,36,13,74
192,BT BATOK WEST AVE 6,650192,78,39,68,100,49,68,80,55,57,22
192,PASIR RIS ST 12,510192,89,58,86,100,88,61,72,49,26,45
192,PUNGGOL CTRL,820192,78,16,89,100,76,55,60,36,68,38
192A,RIVERVALE DR,541192,89,46,85,100,73,49,24,17,52,96
192B,RIVERVALE DR,542192,89,49,84,100,70,49,32,17,52,96
192C,RIVERVALE DR,543192,89,61,84,100,71,49,36,13,52,96
193,BISHAN ST 13,570193,67,17,51,50,16,16,68,33,13,75
193,BT BATOK WEST AVE 6,650193,67,23,68,100,49,69,72,52,57,21
193,EDGEFIELD PLAINS,820193,78,25,89,100,73,55,57,36,68,33
193,LOR 4 TOA PAYOH,310193,78,7,40,100,25,8,84,36,20,28
193,PASIR RIS ST 12,510193,89,64,93,100,88,61,76,49,26,50
193,RIVERVALE DR,540193,89,65,84,100,57,48,24,13,52,96
194,BISHAN ST 13,570194,67,31,52,100,22,16,68,33,13,75
194,KIM KEAT AVE,310194,78,20,95,100,87,8,88,49,20,100
194,PASIR RIS ST 12,510194,89,68,93,100,88,62,76,49,26,52
194,RIVERVALE DR,540194,89,62,83,100,52,48,8,13,52,96
194A,BT BATOK WEST AVE 6,651194,89,69,90,100,49,67,80,59,57,27
194B,BT BATOK WEST AVE 6,652194,78,51,72,100,51,68,84,59,57,24
195,BISHAN ST 13,570195,67,17,52,75,18,16,68,33,13,76
195,KIM KEAT AVE,310195,78,44,95,100,87,8,92,49,20,96
195,PASIR RIS ST 12,510195,89,62,93,100,90,62,76,49,26,38
195,RIVERVALE DR,540195,89,41,84,100,61,48,20,13,52,96
195A,PUNGGOL RD,821195,89,46,94,100,39,56,68,26,52,41
195B,PUNGGOL RD,822195,89,47,94,100,43,56,68,26,52,44
195C,PUNGGOL RD,823195,89,56,94,100,48,56,60,33,68,47
195D,PUNGGOL RD,824195,67,51,88,100,49,56,57,33,68,47
195E,PUNGGOL RD,825195,67,44,88,100,48,57,52,33,68,46
196,BISHAN ST 13,570196,67,9,51,50,17,16,72,33,13,77
196,KIM KEAT AVE,310196,78,31,94,100,83,8,92,49,20,100
196,PASIR RIS ST 12,510196,89,71,95,100,89,62,76,49,26,50
196,RIVERVALE DR,540196,89,21,84,100,68,48,16,13,52,96
196A,BOON LAY DR,641196,100,80,100,100,62,87,96,42,12,68
196A,PUNGGOL FIELD,821196,89,73,91,100,62,54,60,30,52,65
196B,BOON LAY DR,642196,100,84,100,100,59,87,96,42,12,89
196B,PUNGGOL FIELD,822196,89,66,91,100,65,53,57,30,52,53
196C,PUNGGOL FIELD,823196,78,65,89,100,66,54,57,33,52,42
196D,PUNGGOL FIELD,824196,78,73,89,100,62,54,57,33,52,64
197,BISHAN ST 13,570197,67,10,51,50,11,16,72,36,13,75
197,PASIR RIS ST 12,510197,89,71,95,100,91,62,76,55,26,46
197,RIVERVALE DR,540197,89,10,84,100,71,48,8,10,52,96
197A,BOON LAY DR,641197,89,53,90,100,63,88,84,42,12,52
197A,PUNGGOL FIELD,821197,100,80,95,100,58,54,64,30,52,60
197B,BOON LAY DR,642197,89,58,90,100,65,88,84,42,12,52
197B,PUNGGOL FIELD,822197,100,77,96,100,54,54,60,30,52,51
197C,BOON LAY DR,643197,89,68,90,100,64,87,84,42,12,53
197D,BOON LAY DR,644197,89,66,90,100,62,87,84,42,12,55
198,BOON LAY DR,640198,89,56,90,100,57,87,84,42,12,63
198,PASIR RIS ST 12,510198,89,49,86,100,91,62,76,55,26,18
199,BOON LAY DR,640199,89,72,90,100,56,87,84,42,12,74
199,PASIR RIS ST 12,510199,89,35,81,100,91,62,72,55,26,14
199,TOA PAYOH NTH,310199,89,76,78,100,27,13,80,42,13,50
199A,PUNGGOL FIELD,821199,100,83,96,100,52,54,72,30,52,59
199B,PUNGGOL FIELD,822199,100,80,96,100,48,54,76,30,52,59
199C,PUNGGOL FIELD,823199,89,65,94,100,44,55,64,26,52,52
199D,PUNGGOL FIELD,824199,89,70,94,100,48,55,57,26,52,52
2,BEACH RD,509984,100,100,98,100,100,82,100,100,100,78
2,BEDOK STH AVE 1,460002,78,24,93,100,29,27,84,49,10,38
2,CHAI CHEE RD,461002,67,53,87,100,68,22,80,65,31,90
2,DELTA AVE,161002,67,27,78,100,45,5,72,65,25,100
2,DOVER RD,130002,89,38,87,100,46,25,96,71,21,71
2,EVERTON PK,81002,100,82,40,75,8,1,76,81,25,60
2,GHIM MOH RD,270002,89,58,91,100,51,25,88,81,21,32
2,HAIG RD,430002,78,39,76,100,65,9,88,59,15,77
2,HOLLAND AVE,271002,45,9,54,75,10,21,72,75,21,49
2,HOUGANG AVE 3,530002,89,8,95,100,72,24,80,52,34,100
2,JLN BATU,431002,100,93,97,75,17,3,92,75,49,51
2,JLN BT MERAH,150002,67,19,65,100,72,13,80,75,97,36
2,JLN BT HO SWEE,162002,89,76,79,100,38,3,92,68,25,100
2,LOR 7 TOA PAYOH,310002,78,38,90,100,61,12,80,39,20,47
2,LOR LEW LIAN,531002,100,81,86,50,8,17,72,52,60,96
2,MARINE TER,440002,89,64,94,100,100,18,96,71,15,5
2,MARSILING DR,730002,100,99,87,100,69,97,92,65,76,82
2,QUEEN'S RD,266733,56,21,86,100,26,17,84,75,23,100
2,TECK WHYE AVE,680002,78,13,82,100,73,77,80,33,39,45
2,TG PAGAR PLAZA,82002,45,12,7,75,19,1,68,94,86,54
2,TOH YI DR,590002,56,36,62,75,6,41,84,91,5,100
2,UPP ALJUNIED LANE,360002,67,2,86,100,72,10,80,52,60,55
2A,BOON TIONG RD,164002,100,80,74,100,52,2,76,68,25,100
2A,GEYLANG SERAI,403002,56,2,46,100,36,10,84,59,49,62
2A,UPP BOON KENG RD,381002,78,12,84,75,8,2,84,62,49,42
2B,GEYLANG SERAI,404002,56,5,47,100,35,10,84,59,49,61
2B,UPP BOON KENG RD,382002,78,9,84,75,7,2,84,62,49,42
2C,BOON TIONG RD,166002,100,86,74,100,48,2,80,68,25,100
2C,GEYLANG SERAI,405002,78,7,66,100,40,11,84,59,49,66
2C,UPP BOON KENG RD,383002,78,9,84,75,4,2,84,65,49,49
2D,GEYLANG SERAI,406002,78,12,66,100,40,11,84,62,49,71
2D,UPP BOON KENG RD,384002,78,2,84,75,5,2,84,65,49,62
20,BALAM RD,370020,78,31,79,100,34,11,84,71,60,84
20,BEDOK STH RD,460020,78,15,89,100,44,27,88,52,10,38
20,CHAI CHEE RD,461020,56,39,86,100,66,22,76,65,31,90
20,DOVER CRES,130020,67,38,86,100,58,26,92,71,21,99
20,EUNOS CRES,400020,89,74,93,100,36,14,80,75,65,84
20,HOLLAND DR,271020,67,18,68,100,24,22,84,81,21,16
20,HOUGANG AVE 3,530020,89,74,86,100,58,24,72,49,34,94
20,JLN KLINIK,160020,56,35,48,75,12,4,72,62,25,100
20,JLN MEMBINA,164020,56,17,60,75,2,5,80,62,25,40
20,JOO SENG RD,360020,67,54,71,100,61,10,88,59,60,69
20,LOR 7 TOA PAYOH,310020,89,60,77,100,83,10,72,30,20,77
20,MARINE TER,440020,89,34,93,100,100,16,84,71,15,4
20,QUEEN'S CL,140020,100,78,96,100,54,16,92,75,30,100
20,TEBAN GDNS RD,600020,89,26,89,100,83,65,80,94,89,72
20,TECK WHYE LANE,680020,67,11,79,100,73,75,80,23,39,83
20,TELOK BLANGAH CRES,90020,89,54,88,100,86,6,84,71,25,47
20,TIONG BAHRU RD,163020,89,64,72,100,40,2,84,68,25,100
200,BOON LAY DR,640200,100,85,100,100,54,86,96,42,12,97
200,TOA PAYOH NTH,310200,78,74,77,100,30,13,80,42,13,49
200A,SENGKANG EAST RD,541200,78,17,94,100,29,41,76,7,44,62
200B,SENGKANG EAST RD,542200,78,8,94,100,28,41,72,10,52,58
200D,SENGKANG EAST RD,544200,78,11,94,100,30,41,72,10,52,60
201,ANG MO KIO AVE 3,560201,78,29,83,100,40,26,68,42,4,36
201,BEDOK NTH ST 1,460201,78,34,51,75,14,24,80,49,31,37
201,BISHAN ST 23,570201,89,69,91,100,30,20,72,30,7,100
201,BOON LAY DR,640201,100,88,100,100,46,86,92,42,12,100
201,BT BATOK ST 21,650201,89,68,93,75,20,65,80,59,57,29
201,CHOA CHU KANG AVE 1,680201,89,58,92,100,51,78,68,42,39,28
201,CLEMENTI AVE 6,120201,100,95,99,100,45,45,76,65,9,26
201,HOUGANG ST 21,530201,78,2,79,75,12,21,64,46,2,26
201,JURONG EAST ST 21,600201,67,48,50,75,17,66,72,68,57,23
201,MARSILING DR,730201,100,100,92,100,84,99,84,71,83,81
201,PETIR RD,670201,89,38,100,100,87,57,92,75,70,4
201,SERANGOON CTRL,550201,67,29,25,50,2,17,68,55,60,99
201,TOA PAYOH NTH,310201,89,51,79,75,18,13,76,46,13,49
201,YISHUN ST 21,760201,34,48,28,75,16,76,68,42,41,42
201A,COMPASSVALE DR,541201,78,6,77,100,23,42,68,13,52,100
201A,PUNGGOL FIELD,821201,89,68,93,100,34,53,72,26,52,43
201A,TAMPINES ST 21,521201,78,2,71,75,20,50,72,36,17,58
201B,COMPASSVALE DR,542201,78,32,77,100,22,42,68,13,52,92
201B,PUNGGOL FIELD,822201,89,74,93,100,37,53,68,26,52,61
201B,TAMPINES ST 21,522201,78,1,71,75,16,50,72,39,17,56
201C,COMPASSVALE DR,543201,78,24,94,100,31,41,68,13,52,77
201C,PUNGGOL FIELD,823201,100,81,97,100,43,53,72,26,52,62
201D,COMPASSVALE DR,544201,78,15,94,100,31,41,60,13,52,58
201D,PUNGGOL FIELD,824201,89,72,93,100,38,53,72,26,52,46
201D,TAMPINES ST 21,524201,78,1,72,100,26,50,64,39,17,95
201E,TAMPINES ST 23,527201,78,5,71,75,17,50,68,39,17,95
202,ANG MO KIO AVE 3,560202,78,38,83,100,41,26,72,42,4,57
202,BEDOK NTH ST 1,460202,78,23,53,75,10,24,76,49,31,37
202,BISHAN ST 23,570202,89,66,100,100,28,20,72,30,7,98
202,BOON LAY DR,640202,100,79,100,100,49,86,84,42,12,95
202,BT BATOK ST 21,650202,89,45,89,75,11,65,80,55,57,17
202,CHOA CHU KANG AVE 1,680202,89,56,92,100,52,78,68,42,39,33
202,CLEMENTI AVE 6,120202,100,96,99,100,53,45,80,65,9,24
202,COMPASSVALE DR,540202,78,16,77,100,23,42,68,13,52,94
202,JURONG EAST ST 21,600202,67,57,60,100,21,66,72,68,57,21
202,MARSILING DR,730202,100,100,87,100,86,99,84,75,83,81
202,PETIR RD,670202,89,23,100,100,86,57,92,75,70,5
202,SERANGOON CTRL,550202,67,39,23,50,4,17,68,52,60,100
202,TAMPINES ST 21,520202,78,5,71,100,24,49,72,36,17,80
202,TOA PAYOH NTH,310202,89,56,75,75,14,13,76,49,13,40
202,YISHUN ST 21,760202,45,32,26,75,11,76,76,42,41,60
202A,COMPASSVALE DR,541202,78,20,77,100,26,42,68,13,52,90
202A,PUNGGOL FIELD,821202,100,86,97,100,43,53,76,30,52,62
202B,PUNGGOL FIELD,822202,100,88,97,100,47,53,72,26,52,62
202B,SENGKANG EAST RD,542202,78,26,93,100,32,42,68,13,52,81
202C,SENGKANG EAST RD,543202,78,17,94,100,34,41,72,10,52,63
203,BEDOK NTH ST 1,460203,67,10,38,75,5,25,72,52,31,37
203,BISHAN ST 23,570203,89,76,100,100,21,19,76,36,7,100
203,BOON LAY DR,640203,100,83,100,100,42,86,84,39,12,100
203,BT BATOK ST 21,650203,78,20,65,75,5,65,80,52,57,17
203,CHOA CHU KANG AVE 1,680203,89,52,90,100,56,78,68,42,39,41
203,CLEMENTI AVE 6,120203,100,97,99,100,56,46,84,65,9,30
203,JURONG EAST ST 21,600203,89,59,60,100,21,66,72,68,57,21
203,MARSILING DR,730203,100,100,87,100,89,99,84,78,88,81
203,PASIR RIS ST 21,510203,78,52,83,100,94,64,64,62,26,68
203,PETIR RD,670203,89,27,100,100,90,57,92,75,70,4
203,SERANGOON CTRL,550203,56,36,22,50,4,17,72,55,60,100
203,TAMPINES ST 21,520203,78,13,71,100,32,49,68,39,17,81
203,TOA PAYOH NTH,310203,89,68,77,75,14,13,80,49,13,26
203,YISHUN ST 21,760203,45,20,23,75,7,77,76,42,41,66
203A,COMPASSVALE RD,541203,89,49,92,100,29,41,76,17,52,64
203A,PUNGGOL FIELD,821203,100,91,97,100,53,52,72,20,52,71
203B,COMPASSVALE RD,542203,78,33,93,100,30,41,68,17,52,63
203B,PUNGGOL FIELD,822203,100,93,97,100,57,52,72,17,52,87
203C,COMPASSVALE RD,543203,89,47,92,100,31,41,68,17,52,68
203D,COMPASSVALE RD,544203,89,56,95,100,31,42,68,13,52,83
203E,COMPASSVALE RD,545203,78,70,92,100,22,42,68,17,52,100
204,ANG MO KIO AVE 3,560204,78,49,91,100,52,25,72,42,4,28
204,BEDOK NTH ST 1,460204,67,27,36,75,8,25,68,52,31,37
204,BISHAN ST 23,570204,89,69,100,100,24,19,76,33,7,99
204,BOON LAY DR,640204,89,71,90,100,48,87,80,42,12,90
204,BT BATOK ST 21,650204,78,16,65,75,3,64,76,52,57,22
204,CHOA CHU KANG AVE 1,680204,78,61,90,100,59,78,68,42,39,41
204,CLEMENTI AVE 6,120204,100,92,99,100,54,45,80,65,9,19
204,JURONG EAST ST 21,600204,89,69,60,100,26,67,68,71,57,24
204,MARSILING DR,730204,100,100,88,100,90,99,84,78,88,81
204,PASIR RIS ST 21,510204,78,45,83,100,95,64,72,62,26,56
204,PETIR RD,670204,89,9,100,100,87,58,88,71,70,6
204,SERANGOON CTRL,550204,56,36,20,50,6,17,72,55,60,100
204,TAMPINES ST 21,520204,78,31,71,100,38,49,72,33,17,81
204,TOA PAYOH NTH,310204,89,53,72,75,9,13,76,49,13,35
204,YISHUN ST 21,760204,45,10,21,75,3,77,72,42,41,58
204A,COMPASSVALE DR,541204,78,46,93,100,24,42,64,10,52,90
204A,PUNGGOL FIELD,821204,100,82,97,100,48,52,72,17,52,68
204B,COMPASSVALE DR,542204,78,28,93,100,31,41,68,13,52,61
204B,PUNGGOL FIELD,822204,100,86,97,100,49,52,72,17,52,82
204C,COMPASSVALE DR,543204,78,44,93,100,28,42,64,10,52,88
204C,PUNGGOL FIELD,823204,100,92,100,100,56,51,76,17,52,87
204D,COMPASSVALE DR,544204,78,57,93,100,26,42,68,13,52,94
204D,PUNGGOL FIELD,824204,100,86,100,100,53,51,76,17,52,71
205,ANG MO KIO AVE 1,560205,78,36,91,100,58,25,72,42,4,13
205,BEDOK NTH ST 1,460205,67,7,33,75,6,26,64,49,10,37
205,BISHAN ST 23,570205,89,57,100,100,28,20,72,30,7,79
205,BOON LAY DR,640205,100,77,88,100,41,86,84,42,12,100
205,BT BATOK ST 21,650205,78,29,67,75,5,64,72,52,57,30
205,CHOA CHU KANG CTRL,680205,78,73,98,100,51,78,68,42,39,41
205,CLEMENTI AVE 6,120205,100,96,99,100,58,46,84,65,9,25
205,JURONG EAST ST 21,600205,89,76,60,100,31,66,68,71,57,21
205,MARSILING DR,730205,100,100,95,100,92,99,92,78,88,81
205,PASIR RIS ST 21,510205,78,27,85,100,95,64,76,62,26,75
205,PETIR RD,670205,89,1,100,100,84,59,88,65,55,8
205,SERANGOON CTRL,550205,56,37,19,50,9,17,72,52,60,93
205,TAMPINES ST 21,520205,78,28,71,100,40,49,68,36,17,81
205,TOA PAYOH NTH,310205,89,75,72,75,7,14,84,52,13,19
205,YISHUN ST 21,760205,56,21,24,75,6,77,72,42,41,62
205A,COMPASSVALE LANE,541205,100,84,96,100,38,41,68,20,52,72
205A,PUNGGOL FIELD,821205,100,82,100,100,50,51,76,17,52,62
205B,COMPASSVALE LANE,542205,89,76,96,100,32,41,60,20,52,68
205C,COMPASSVALE LANE,543205,89,75,92,100,34,41,72,17,52,67
206,BISHAN ST 23,570206,89,47,100,100,33,20,72,33,7,42
206,BOON LAY DR,640206,89,63,88,100,49,87,80,42,12,88
206,BT BATOK ST 21,650206,78,37,85,75,8,64,80,55,57,22
206,CHOA CHU KANG CTRL,680206,89,73,98,100,52,78,72,42,39,41
206,CLEMENTI AVE 6,120206,100,96,99,100,63,46,88,65,9,25
206,JURONG EAST ST 21,600206,100,81,90,100,34,67,72,71,57,22
206,MARSILING DR,730206,100,100,95,100,93,100,96,81,88,81
206,PASIR RIS ST 21,510206,78,34,85,100,94,64,76,62,26,76
206,PETIR RD,670206,89,2,94,100,85,59,88,65,55,7
206,SERANGOON CTRL,550206,56,34,24,75,14,18,80,52,60,62
206,TAMPINES ST 21,520206,67,32,69,100,47,49,76,39,17,65
206,TOA PAYOH NTH,310206,100,87,75,75,5,14,92,52,13,26
206,YISHUN ST 21,760206,56,32,23,75,10,77,72,42,41,66
206A,COMPASSVALE LANE,541206,100,80,96,100,39,41,68,20,52,79
206B,COMPASSVALE LANE,542206,100,86,99,100,31,42,60,17,52,100
206C,COMPASSVALE LANE,543206,100,90,95,100,41,42,64,17,52,97
206D,COMPASSVALE LANE,544206,100,89,96,100,39,42,64,17,52,100
207,ANG MO KIO AVE 1,560207,89,20,93,100,69,24,80,46,4,5
207,BISHAN ST 23,570207,89,73,100,75,19,19,80,33,7,99
207,BOON LAY PL,640207,89,14,87,100,68,89,72,46,12,59
207,BT BATOK ST 21,650207,89,49,90,75,12,64,80,55,57,32
207,CHOA CHU KANG CTRL,680207,100,85,98,100,43,79,72,42,39,34
207,JURONG EAST ST 21,600207,100,82,93,100,35,67,72,71,57,20
207,PASIR RIS ST 21,510207,78,43,85,100,93,63,72,62,26,77
207,PETIR RD,670207,89,10,100,100,88,58,88,65,55,6
207,SERANGOON CTRL,550207,56,35,69,75,18,18,80,52,60,45
207,TAMPINES ST 21,520207,78,25,71,100,42,49,68,39,17,75
207,TOA PAYOH NTH,310207,100,94,75,75,7,14,92,55,13,36
207,YISHUN ST 21,760207,45,38,28,75,12,77,72,42,41,71
207A,COMPASSVALE LANE,542207,89,73,92,100,42,41,64,20,52,79
207A,PUNGGOL PL,821207,89,37,97,100,30,53,72,23,52,42
207B,COMPASSVALE LANE,543207,78,68,74,100,44,41,64,20,52,82
207B,PUNGGOL PL,822207,89,37,97,100,31,53,72,23,52,44
207C,COMPASSVALE LANE,544207,89,58,92,100,40,40,64,20,34,76
207C,PUNGGOL PL,823207,89,33,96,100,28,53,72,26,52,44
207D,COMPASSVALE LANE,547207,89,47,92,100,35,40,60,20,34,71
207D,PUNGGOL PL,824207,89,21,95,100,23,53,72,23,52,38
208,ANG MO KIO AVE 1,560208,89,23,93,100,72,24,88,46,4,5
208,BISHAN ST 23,570208,89,66,100,100,21,19,84,33,7,80
208,BOON LAY PL,640208,89,34,86,100,64,88,64,46,12,81
208,BT BATOK ST 21,650208,89,60,93,75,16,65,76,62,57,31
208,CHOA CHU KANG CTRL,680208,100,82,98,100,43,79,76,46,39,28
208,JURONG EAST ST 21,600208,100,89,93,100,41,67,68,68,57,20
208,NEW UPP CHANGI RD,460208,67,4,33,75,6,26,64,49,10,37
208,PASIR RIS ST 21,510208,78,56,83,100,92,63,68,59,26,78
208,PETIR RD,670208,89,15,94,100,89,58,88,65,55,5
208,SERANGOON CTRL,550208,78,48,71,100,22,18,80,52,60,43
208,TAMPINES ST 21,520208,78,14,71,100,41,49,72,39,17,72
208,TOA PAYOH NTH,310208,100,93,83,75,7,14,92,55,13,75
208,YISHUN ST 21,760208,34,44,28,75,14,77,68,42,41,70
208A,COMPASSVALE LANE,541208,78,60,74,100,45,40,60,20,34,84
208A,CLEMENTI AVE 6,121208,100,94,99,100,67,46,84,65,9,22
208A,PUNGGOL PL,821208,89,10,94,75,17,54,72,23,52,29
208B,CLEMENTI AVE 6,122208,100,94,99,100,71,46,88,65,9,23
208B,COMPASSVALE LANE,542208,78,58,74,100,49,40,60,17,52,86
208B,PUNGGOL PL,822208,89,9,94,75,17,54,72,20,52,30
208C,PUNGGOL PL,823208,89,18,95,100,22,53,72,20,52,34
209,ANG MO KIO AVE 3,560209,78,15,89,100,54,26,76,42,4,26
209,BISHAN ST 23,570209,89,50,100,100,29,20,80,36,7,33
209,BOON LAY PL,640209,89,57,86,100,51,87,72,46,12,92
209,BT BATOK ST 21,650209,89,70,95,100,21,65,76,62,57,47
209,CHOA CHU KANG CTRL,680209,100,81,94,100,31,80,80,49,39,11
209,JURONG EAST ST 21,600209,89,58,77,100,40,69,72,65,57,43
209,PASIR RIS ST 21,510209,78,65,83,100,93,63,64,59,26,67
209,PETIR RD,670209,89,38,100,100,92,58,92,71,70,2
209,SERANGOON CTRL,550209,78,65,69,100,29,19,80,52,60,45
209,TAMPINES ST 21,520209,78,7,72,100,33,49,64,39,17,89
209,TOA PAYOH NTH,310209,100,95,86,75,9,14,92,55,13,91
209,YISHUN ST 21,760209,56,52,23,75,17,77,76,42,41,81
209A,COMPASSVALE LANE,541209,78,41,74,100,43,39,60,23,34,83
209A,PUNGGOL PL,821209,89,54,97,100,38,52,80,20,52,50
209B,COMPASSVALE LANE,542209,78,52,74,100,47,40,60,20,34,86
209B,PUNGGOL PL,822209,89,53,97,100,37,52,80,20,52,50
209C,COMPASSVALE LANE,543209,78,52,74,100,52,40,57,20,34,86
209C,PUNGGOL PL,823209,89,64,97,100,42,52,80,20,52,53
21,BALAM RD,370021,78,47,81,100,30,11,84,71,60,84
21,BEDOK STH RD,460021,78,26,89,100,38,26,88,49,10,38
21,CHAI CHEE RD,461021,56,40,85,100,68,22,72,62,31,90
21,DOVER CRES,130021,56,20,89,100,45,25,92,71,21,75
21,EUNOS CRES,400021,100,81,95,100,41,14,80,78,65,84
21,GHIM MOH RD,270021,56,1,65,75,17,24,76,75,21,21
21,HAIG RD,430021,67,27,80,100,41,8,80,59,49,80
21,HOLLAND DR,271021,67,30,69,100,24,22,84,81,21,19
21,HOUGANG AVE 3,530021,89,62,89,100,62,25,76,49,34,91
21,JLN MEMBINA,163021,56,30,61,75,4,5,80,62,25,46
21,JOO SENG RD,360021,67,32,74,100,66,10,88,59,60,55
21,LIM LIAK ST,161021,89,62,72,100,41,2,84,68,25,100
21,QUEEN'S CL,140021,100,84,96,100,52,16,92,71,30,100
21,TEBAN GDNS RD,600021,89,29,89,100,83,64,80,94,89,57
21,TELOK BLANGAH CRES,90021,89,35,91,100,88,6,84,71,25,11
21,TOH YI DR,590021,89,75,88,100,37,44,76,88,5,68
210,ANG MO KIO AVE 3,560210,78,25,89,100,56,26,76,42,4,47
210,BISHAN ST 23,570210,89,45,100,100,32,20,80,36,7,18
210,BOON LAY PL,640210,89,19,86,100,75,90,76,46,12,68
210,BT BATOK ST 21,650210,89,70,90,75,20,64,84,62,57,37
210,CHOA CHU KANG CTRL,680210,100,83,94,100,33,79,80,46,39,12
210,HOUGANG ST 21,530210,78,23,64,75,4,22,80,52,2,100
210,JURONG EAST ST 21,600210,89,50,92,100,59,71,80,59,57,28
210,NEW UPP CHANGI RD,460210,67,7,37,75,6,26,72,46,10,63
210,PASIR RIS ST 21,510210,67,64,81,100,94,63,64,59,26,56
210,PETIR RD,670210,89,49,100,100,93,58,92,71,70,1
210,SERANGOON CTRL,550210,78,57,70,100,32,19,80,49,2,37
210,TAMPINES ST 23,520210,78,13,71,75,7,51,68,39,17,66
210,YISHUN ST 21,760210,56,48,49,100,29,77,76,42,41,62
210A,COMPASSVALE LANE,541210,89,21,78,100,63,41,64,17,52,90
210A,PUNGGOL PL,821210,89,48,97,100,35,52,76,23,52,47
